,Заказ,БазисСрокНачала,Плановая дата,ПользСтатус (заказа),СистСтатус,ОбщееВремяПростояТК,Краткий текст,СистСтатСообщТОРО,ЕО; teh_mesto; СПП-ЗаголЗаказа
0,1100359080,2022-01-20,1/24/2022,СГГС ГОД УТВГ УТВП МЕС НЕД УТВН ГИП ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ,ДЕБЛ ПЕЧТ ПДТВ ПКАЛ ПРВВ ДВМА ДМНП JBFI,"14,00",Техническое обслуживание 3,СОРА ЗКПР ВСМИ,"100000008666
03-CTT-KD01
LT-1200-2022-2-014-02"
1,2100010047,2022-01-21,,НДСГ,ДЕБЛ ПЕЧТ ПКАЛ KKMP,"0,00",ТОиР самосвалов БелАЗ,,"100000068228
03-KON-OBSL-OB03
nan"
2,1200082298,2022-01-21,,СГГС МТРЦ,ДЕБЛ ПКАЛ ПРВВ ДМНП,"0,00",Замена масляного фильтра,СОРА ЗКПР ВСМИ,"100000008664
03-CTT-KH04
LT-1200-2022-2-014-02"
3,2100010048,2022-01-21,,НДСГ,ДЕБЛ ПЕЧТ ПКАЛ KKMP,"0,00",ТОиР самосвалов CAT,,"100000008673
03-CTT-CC01
nan"
4,1100380358,2022-01-22,1/30/2022,СГГС ГОД УТВГ МЕС УТВМ НЕД УТВН ГИП ПТОМ ПРНТ,ДЕБЛ ПЕЧТ ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,"24,00",ТР Самосвал HD1500-8 №1621,СОРА ЗКПР ВСМИ,"100000006408
03-CTT-KM01
LT-1200-2022-2-014-02"
5,1100368951,2022-01-22,2/17/2022,СГГС ГОД УТВГ НЕД УТВН ГИП ПРНТ МТРЦ,ДЕБЛ ПДТВ ПКАЛ ПРВВ ДВМА ДМНП JBFI,"72,00",ТР ДВС БелАЗ 7547 №2,СОЗА ЗКПР ВСМИ,"100000068228
03-KON-OBSL-OB03
LT-1200-2022-4-024-02"
6,1100368830,2022-01-22,3/2/2022,СГГС ГОД УТВГ УТВП МЕС УТВМ НЕД УТВН ГИП ПРНТ МТРЦ ТКБЕ,ДЕБЛ ПДТВ ПКАЛ ПРВВ ДВМА ДМНП JBFI,"12,00",ТО-3 БелАЗ 7547 №1 СЛ,СОРА ЗКПР ВСМИ,"100000068227
03-KON-OBSL-OB02
LT-1200-2022-4-024-02"
7,1100532607,2022-01-23,4/22/2022,СГГС ГОД УТВГ УТВП ГИП ПРНТ СРОЧ МТРЦ ТКБЕ,ДЕБЛ ПЕЧТ ПДТВ ПКАЛ ПРВВ ДВМА ДМНП JBFI,"14,00",Техническое обслуживание 3,СОРА ЗКПР ВСМИ,"100000008664
03-CTT-KH04
LT-1200-2022-2-014-02"
8,1100368764,2022-01-24,12/7/2021,СГГС ГОД УТВГ УТВП МЕС УТВМ НЕД УТВН ГИП ПРНТ МТРЦ ТКБЕ,ДЕБЛ ПДТВ ПКАЛ ПРВВ ДВМА ДМНП JBFI,"6,00",ТО-1 БелАЗ 7451 СЛ №6,СОРА ЗКПР ВСМИ,"100000068232
03-KON-OBSL-OB07
LT-1200-2022-4-024-02"
9,1100380736,2022-01-25,1/30/2022,СГГС ГОД УТВГ МЕС УТВМ НЕД УТВН ГИП ПТОМ,ОТКР ПКАЛ ДМНП KKMP,"24,00",ТР Самосвал HD1500-8 №1624,СОРА ЗКПР,"100000021344
03-CTT-KM04
LT-1200-2022-2-014-02"
10,1200083114,2022-01-25,,СГГС,ОТКР ПКАЛ ДМНП KKMP,"0,00",Ремонт эл. проводки реле напряжения,СОРА ЗКПР ВСМИ,"100000068230
03-KON-OBSL-OB05
LT-1200-2022-4-024-02"
11,1100358670,2022-01-25,2/17/2022,СГГС ГОД УТВГ УТВП МЕС УТВМ НЕД УТВН ГИП ПТОМ ПРНТ СРОЧ МТРЦ ТКБЕ,ДЕБЛ ЧПЕЧ ПДТВ ПКАЛ ПРВВ ДВМА ДМНП JBFI,"12,00",Техническое обслуживание 2,СОРА ЗКПР ВСМИ,"100000008673
03-CTT-CC01
LT-1200-2022-2-014-02"
12,1600129523,2022-01-26,1/26/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №6 СЛ,СОРА ЗКПР,"100000068232
03-KON-OBSL-OB07
nan"
13,1600129530,2022-01-26,1/26/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №6 СЛ,СОРА ЗКПР,"100000068232
03-KON-OBSL-OB07
nan"
14,1600129641,2022-01-26,1/26/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №4  СЛ,СОРА ЗКПР,"100000068230
03-KON-OBSL-OB05
nan"
15,1600129735,2022-01-26,1/26/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №2  СЛ,СОРА ЗКПР,"100000068228
03-KON-OBSL-OB03
nan"
16,1600129768,2022-01-26,1/26/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №2  СЛ,СОРА ЗКПР,"100000068228
03-KON-OBSL-OB03
nan"
17,1100381354,2022-01-26,1/30/2022,СГГС ГОД УТВГ МЕС УТВМ НЕД УТВН ГИП ПТОМ,ОТКР ПКАЛ ДМНП KKMP,"24,00",ТР Самосвал HD785-7 №1615,СОРА ЗКПР,"100000008672
03-CTT-KD07
LT-1200-2022-2-014-02"
18,1600129571,2022-01-26,1/26/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №5  СЛ,СОРА ЗКПР,"100000068231
03-KON-OBSL-OB06
nan"
19,1600129655,2022-01-26,1/26/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №4  СЛ,СОРА ЗКПР,"100000068230
03-KON-OBSL-OB05
nan"
20,1100381700,2022-01-26,1/30/2022,СГГС ГОД УТВГ МЕС ГИП,ОТКР ПКАЛ ДМНП KKMP,"24,00",ТР Самосвал HD785-7 №1614,СОРА ЗКПР,"100000008671
03-CTT-KD06
LT-1200-2022-2-014-02"
21,1600129721,2022-01-26,1/26/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №3  СЛ,СОРА ЗКПР,"100000068229
03-KON-OBSL-OB04
nan"
22,1600129667,2022-01-26,1/26/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №3  СЛ,СОРА ЗКПР,"100000068229
03-KON-OBSL-OB04
nan"
23,1100359849,2022-01-26,2/12/2022,СГГС ГОД УТВГ УТВП МЕС НЕД УТВН ГИП ПТОМ СРОЧ МТРЦ ТКБЕ,ДЕБЛ ПЕЧТ ПКАЛ ПРВВ ДВМА ДМНП,"36,00",Техническое обслуживание 4,СОРА ЗКПР,"100000008672
03-CTT-KD07
LT-1200-2022-2-014-02"
24,1600129578,2022-01-26,1/26/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №5  СЛ,СОРА ЗКПР,"100000068231
03-KON-OBSL-OB06
nan"
25,1100368427,2022-01-26,2/18/2022,СГГС ГОД УТВГ УТВП МЕС УТВМ НЕД УТВН ГИП МТРЦ ТКБЕ,ДЕБЛ ПКАЛ ПРВВ ДВМА ДМНП,"6,00",ТО-1 БелАЗ 7547 №5 СЛ,СОРА ЗКПР,"100000068231
03-KON-OBSL-OB06
LT-1200-2022-4-024-02"
26,2100010244,2022-01-26,,НДСГ,ДЕБЛ ПЕЧТ ПКАЛ KKMP,"0,00",ТОиР самосвалов Komatsu,,"100000008667
03-CTT-KD02
nan"
27,1600129253,2022-01-26,1/26/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №1 СЛ,СОРА ЗКПР,"100000068227
03-KON-OBSL-OB02
nan"
28,1600129240,2022-01-26,1/26/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №1 СЛ,СОРА ЗКПР,"100000068227
03-KON-OBSL-OB02
nan"
29,1600129701,2022-01-27,1/27/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1624,СОРА ЗКПР,"100000021344
03-CTT-KM04
LT-1200-2022-2-014-02"
30,1600129255,2022-01-27,1/27/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №1 СЛ,СОРА ЗКПР,"100000068227
03-KON-OBSL-OB02
nan"
31,1600129736,2022-01-27,1/27/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №2  СЛ,СОРА ЗКПР,"100000068228
03-KON-OBSL-OB03
nan"
32,1600129770,2022-01-27,1/27/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 2 БелАЗ 7547 №2  СЛ,СОРА ЗКПР,"100000068228
03-KON-OBSL-OB03
nan"
33,1600129415,2022-01-27,1/27/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена HD1500-8 №1629,СОРА ЗКПР,"100000022783
03-CTT-KM09
LT-1200-2022-2-014-02"
34,1600129497,2022-01-27,1/27/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1610,СОРА ЗКПР,"100000008667
03-CTT-KD02
LT-1200-2022-2-014-02"
35,1100358734,2022-01-27,1/24/2022,СГГС ГОД УТВГ УТВП МЕС УТВМ НЕД УТВН ГИП ПТОМ СРОЧ МТРЦ ТКБЕ,ДЕБЛ ЧПЕЧ ПКАЛ ПРВВ ДВМА ДМНП,"10,00",Техническое обслуживание 1,СОРА ЗКПР,"100000008674
03-CTT-CC02
LT-1200-2022-2-014-02"
36,1600129519,2022-01-27,1/27/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал 785C №1620,СОРА ЗКПР,"100000008674
03-CTT-CC02
LT-1200-2022-2-014-02"
37,1100381231,2022-01-27,1/30/2022,СГГС ГОД УТВГ МЕС УТВМ НЕД УТВН ГИП ПТОМ,ОТКР ПКАЛ ДМНП KKMP,"24,00",ТР Самосвал 785C №1620,СОРА ЗКПР,"100000008674
03-CTT-CC02
LT-1200-2022-2-014-02"
38,1600129572,2022-01-27,1/27/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №5  СЛ,СОРА ЗКПР,"100000068231
03-KON-OBSL-OB06
nan"
39,1100390788,2022-01-27,1/14/2022,СГГС ГОД МЕС НЕД УТВН ГИП,ОТКР ПКАЛ ДМНП KKMP,"0,00",ТО1 Компьютер Trax10 1620,СОРА ЗКПР,"100000009440
03-CTT-CC02
LT-1200-2022-2-027-02"
40,1600129242,2022-01-27,1/27/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ KKMP,"0,33",ЕТО 1 БелАЗ 7547 №1 СЛ,СОРА ЗКПР,"100000068227
03-KON-OBSL-OB02
nan"
41,1600129565,2022-01-27,1/27/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Komatsu HD785-7 №1611,СОРА ЗКПР,"100000008668
03-CTT-KD03
LT-1200-2022-2-014-02"
42,1600129262,2022-01-27,1/27/2022,УТВН ЗАПЛ,ДЕБЛ ПКАЛ ПРВВ СРНА ДМНП KKMP,"0,33",ЕТО 2 смена Самосвал HD1500-8 №1626,СОРА ЗКПР,"100000021466
03-CTT-KM06
LT-1200-2022-2-014-02"
