,Заказ,Базисный срок начала,Базисный срок конца,БЕ,Группа плановиков,Сообщение,Вид заказа,Вид работы ТОРО,Время ремонтного простоя (Зкз),Общее время простоя (Зкз),Метка удаления,СистСтатус,ПользСтатус,Системный статус сообщения ТОРО,Наименование класса ЕО,Краткий текст,Единица оборудования,Техническое место,Название технического места,СПП - заголовок заказа,basis_start_year,basis_start_month,basis_start_date,basis_start_month_year,order_system_status,ТЗКР,ПДТВ,ПКАЛ,ПРВВ,ДМНП,KKMP,JBFI,ЗАКР,МТКУ,НЕВЫ,ДВМА,ПЕЧТ,MOBI,ЧПДТ,ЧПЕЧ,ОШОЗ,ОТКР,ДЕБЛ,СРНА,iw39
0,1600123856,2022-01-01,1/1/2022,1200,100,7940363870,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000006414,03-RUD-EKSK-VOBR-EX03,Экскаватор №1210,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
1,1200080327,2022-01-01,1/1/2022,1200,100,7200143567,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Экскаваторы гидравлические,Замена ремней вентилятора,100000006414,03-RUD-EKSK-VOBR-EX03,Экскаватор №1210,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
2,1600123863,2022-01-01,1/1/2022,1200,100,7940363877,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000006414,03-RUD-EKSK-VOBR-EX03,Экскаватор №1210,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
3,1200080433,2022-01-01,1/1/2022,1200,100,7200143572,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,Доведение тех. жидкости до уровня,100000068229,03-KON-OBSL-OB04, БелАЗ-7547 №2443,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
4,1600123760,2022-01-01,1/1/2022,1200,100,7940363774,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000008675,03-RUD-EKSK-VOBR-EX01,Экскаватор №1201,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
5,1600123767,2022-01-01,1/1/2022,1200,100,7940363781,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000008675,03-RUD-EKSK-VOBR-EX01,Экскаватор №1201,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
6,1600123835,2022-01-01,1/1/2022,1200,100,7940363839,AETG,ЕСО,"0,33","0,33",X,ЗАКР ПКАЛ ПРВВ МТКУ ДМНП KKMP,УТВН ЗАПЛ,СОЗА ЗКПР МТКУ,Экскаваторы гидравлические,ЕСО 2 смена,100000008676,03-RUD-EKSK-VOBR-EX02,Экскаватор №1202,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ЗАКР', 'ПКАЛ', 'ПРВВ', 'МТКУ', 'ДМНП', 'KKMP']",0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,iw39
7,1600123712,2022-01-01,1/1/2022,1200,100,7940363726,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000008679,03-RUD-EKSK-VOBR-EX06,Экскаватор №1214,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
8,1600123719,2022-01-01,1/1/2022,1200,100,7940363733,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000008679,03-RUD-EKSK-VOBR-EX06,Экскаватор №1214,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
9,1200080329,2022-01-01,1/1/2022,1200,100,7200143510,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Экскаваторы гидравлические,Замена клапана,100000009138,03-RUD-EKSK-OOBR-EX01,Экскаватор №1203,LT-1200-2022-2-010-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
10,1200080423,2022-01-01,1/1/2022,1200,100,7200143498,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,Замена фильтров,100000068231,03-KON-OBSL-OB06, БелАЗ-7547 №2445,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
11,1600123931,2022-01-01,1/1/2022,1200,100,7940363935,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000008677,03-RUD-EKSK-VOBR-EX04,Экскаватор №1211,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
12,1600123924,2022-01-01,1/1/2022,1200,100,7940363918,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000008677,03-RUD-EKSK-VOBR-EX04,Экскаватор №1211,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
13,1200080442,2022-01-01,1/1/2022,1200,100,7200143391,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,Доведение тех.жидкости до уровня,100000008671,03-CTT-KD06,Самосвал №1614,LT-1200-2022-2-014-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
14,1800005315,2022-01-01,1/2/2022,1200,100,,ATU1,ПТР,"24,00","24,00",X,ЗАКР НЕВЫ ПКАЛ МТКУ ДМНП KKMP,ПЛАН ГОД УТВП ГИП КОРР ТКБЕ,,Экскаваторы электрические,Канаты WK 20,100000007087,03-RUD-EKSK-OOBR-EX04,Экскаватор №1220,LT-1200-2022-2-010-02,2022,1,2022-01-01,1_2022,"['ЗАКР', 'НЕВЫ', 'ПКАЛ', 'МТКУ', 'ДМНП', 'KKMP']",0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,iw39
15,1600123828,2022-01-01,1/1/2022,1200,100,7940363832,AETG,ЕСО,"0,33","0,33",X,ЗАКР ПКАЛ ПРВВ МТКУ ДМНП KKMP,УТВН ЗАПЛ,СОЗА ЗКПР МТКУ,Экскаваторы гидравлические,ЕСО 1 смена,100000008676,03-RUD-EKSK-VOBR-EX02,Экскаватор №1202,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ЗАКР', 'ПКАЛ', 'ПРВВ', 'МТКУ', 'ДМНП', 'KKMP']",0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,iw39
16,1200080422,2022-01-01,1/1/2022,1200,100,7200143502,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,Замена трубки на оборотную,100000068227,03-KON-OBSL-OB02, БелАЗ-7547 №2441,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
17,1200080483,2022-01-01,1/1/2022,1200,100,7200143621,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,Замена подшипника компрессора,100000068227,03-KON-OBSL-OB02, БелАЗ-7547 №2441,LT-1200-2022-4-024-02,2022,1,2022-01-01,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
18,1600123761,2022-01-02,1/2/2022,1200,100,7940363775,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000008675,03-RUD-EKSK-VOBR-EX01,Экскаватор №1201,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
19,1600123925,2022-01-02,1/2/2022,1200,100,7940363919,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000008677,03-RUD-EKSK-VOBR-EX04,Экскаватор №1211,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
20,1600123768,2022-01-02,1/2/2022,1200,100,7940363782,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000008675,03-RUD-EKSK-VOBR-EX01,Экскаватор №1201,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
21,1600123932,2022-01-02,1/2/2022,1200,100,7940363936,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000008677,03-RUD-EKSK-VOBR-EX04,Экскаватор №1211,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
22,1200080437,2022-01-02,1/2/2022,1200,100,7200143655,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,Замена насоса тормозной системы,100000008671,03-CTT-KD06,Самосвал №1614,LT-1200-2022-2-014-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
23,1200080436,2022-01-02,1/2/2022,1200,100,7200143806,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,Отсутствие МТР (нет поставки МТС),100000068229,03-KON-OBSL-OB04, БелАЗ-7547 №2443,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
24,1200080332,2022-01-02,1/2/2022,1200,100,7200143642,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Экскаваторы гидравлические,Отогрев радиатора,100000068233,03-RUD-EKSK-OOBR-EX05,Экскаватор №1204,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
25,1100368908,2022-01-02,1/2/2022,1200,100,7100371033,APP1,ТО3,"12,00","12,00",,ТЗКР ПДТВ ПКАЛ ПРВВ ДВМА ДМНП JBFI,СГГС ГОД УТВГ УТВП МЕС УТВМ ГИП ПРНТ МТРЦ ТКБЕ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,ТО-3 БелАЗ 7451 СЛ №3,100000068229,03-KON-OBSL-OB04, БелАЗ-7547 №2443,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДВМА', 'ДМНП', 'JBFI']",1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,iw39
26,1200080482,2022-01-02,1/2/2022,1200,100,7200143631,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,Ремонт компрессора,100000068227,03-KON-OBSL-OB02, БелАЗ-7547 №2441,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
27,1600123857,2022-01-02,1/2/2022,1200,100,7940363871,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000006414,03-RUD-EKSK-VOBR-EX03,Экскаватор №1210,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
28,1600123713,2022-01-02,1/2/2022,1200,100,7940363727,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000008679,03-RUD-EKSK-VOBR-EX06,Экскаватор №1214,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
29,1600123720,2022-01-02,1/2/2022,1200,100,7940363734,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000008679,03-RUD-EKSK-VOBR-EX06,Экскаватор №1214,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
30,1100353428,2022-01-02,1/2/2022,1200,600,7100356022,APP1,ТО,"0,00","0,00",,ТЗКР ПКАЛ ПРВВ KKMP JBFI,СГГС ГОД МЕС ГИП ПРНТ,СОЗА ЗКПР,Компьютеры промышленные бортовые,ТО1 Компьютер Trax10LP 1627,100000069160,03-CTT-KM07,Самосвал №1627,LT-1200-2022-2-027-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПКАЛ', 'ПРВВ', 'KKMP', 'JBFI']",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
31,1100354061,2022-01-02,1/2/2022,1200,100,7100356346,APP1,ТО1,"6,00","6,00",,ТЗКР ПЕЧТ ПДТВ ПКАЛ ПРВВ ДВМА ДМНП JBFI,СГГС ГОД УТВГ УТВП МЕС УТВМ ГИП ПТОМ ПРНТ МТРЦ ТКБЕ,СОЗА ЗКПР ВСМИ,Экскаваторы гидравлические,Техническое обслуживание 1,100000009138,03-RUD-EKSK-OOBR-EX01,Экскаватор №1203,LT-1200-2022-2-010-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПЕЧТ', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДВМА', 'ДМНП', 'JBFI']",1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,iw39
32,1600123829,2022-01-02,1/2/2022,1200,100,7940363833,AETG,ЕСО,"0,33","0,33",X,ЗАКР ПКАЛ ПРВВ МТКУ ДМНП KKMP,УТВН ЗАПЛ,СОЗА ЗКПР МТКУ,Экскаваторы гидравлические,ЕСО 1 смена,100000008676,03-RUD-EKSK-VOBR-EX02,Экскаватор №1202,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ЗАКР', 'ПКАЛ', 'ПРВВ', 'МТКУ', 'ДМНП', 'KKMP']",0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,iw39
33,1600123836,2022-01-02,1/2/2022,1200,100,7940363840,AETG,ЕСО,"0,33","0,33",X,ЗАКР ПКАЛ ПРВВ МТКУ ДМНП KKMP,УТВН ЗАПЛ,СОЗА ЗКПР МТКУ,Экскаваторы гидравлические,ЕСО 2 смена,100000008676,03-RUD-EKSK-VOBR-EX02,Экскаватор №1202,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ЗАКР', 'ПКАЛ', 'ПРВВ', 'МТКУ', 'ДМНП', 'KKMP']",0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,iw39
34,1100640478,2022-01-02,1/2/2022,1200,100,7200143675,ATS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДВМА ДМНП JBFI,СГГС ПРНТ МТРЦ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,Техническое обслуживание 2,100000022743,03-CTT-KM07,Самосвал №1627,LT-1200-2022-2-014-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДВМА', 'ДМНП', 'JBFI']",1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,iw39
35,1600123864,2022-01-02,1/2/2022,1200,100,7940363878,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000006414,03-RUD-EKSK-VOBR-EX03,Экскаватор №1210,LT-1200-2022-4-024-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
36,1200080441,2022-01-02,1/2/2022,1200,100,7200143611,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Самосвалы карьерные,Замена РВД на оборотный,100000008671,03-CTT-KD06,Самосвал №1614,LT-1200-2022-2-014-02,2022,1,2022-01-02,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
37,1600124932,2022-01-03,1/3/2022,1200,100,7940370715,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000008679,03-RUD-EKSK-VOBR-EX06,Экскаватор №1214,LT-1200-2022-4-024-02,2022,1,2022-01-03,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
38,1600124925,2022-01-03,1/3/2022,1200,100,7940370668,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000008679,03-RUD-EKSK-VOBR-EX06,Экскаватор №1214,LT-1200-2022-4-024-02,2022,1,2022-01-03,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
39,1200080353,2022-01-03,1/3/2022,1200,200,7200143848,AVS1,НЛ,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Экскаваторы электрические,Перезагрузка привода,100000009137,03-RUD-EKSK-OOBR-EX03,Экскаватор №1208,LT-1200-2022-2-009-02,2022,1,2022-01-03,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
40,1200080671,2022-01-03,1/3/2022,1200,100,7200143986,AVS1,ТР,"0,01","0,01",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,СГГС ПРНТ,СОЗА ЗКПР ВСМИ,Экскаваторы гидравлические,Диагностика,100000008675,03-RUD-EKSK-VOBR-EX01,Экскаватор №1201,LT-1200-2022-4-024-02,2022,1,2022-01-03,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
41,1600125006,2022-01-03,1/3/2022,1200,100,7940370729,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 2 смена,100000008675,03-RUD-EKSK-VOBR-EX01,Экскаватор №1201,LT-1200-2022-4-024-02,2022,1,2022-01-03,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
42,1600124939,2022-01-03,1/3/2022,1200,100,7940370722,AETG,ЕСО,"0,33","0,33",,ТЗКР ПДТВ ПКАЛ ПРВВ ДМНП KKMP JBFI,УТВН ЗАПЛ,СОЗА ЗКПР,Экскаваторы гидравлические,ЕСО 1 смена,100000008675,03-RUD-EKSK-VOBR-EX01,Экскаватор №1201,LT-1200-2022-4-024-02,2022,1,2022-01-03,1_2022,"['ТЗКР', 'ПДТВ', 'ПКАЛ', 'ПРВВ', 'ДМНП', 'KKMP', 'JBFI']",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,iw39
