maintanance_job_code,eo_code,maintanance_category_id,maintanance_name,maint_interval,downtime,man_hours,tr_service_interval
sl_730_1_53,sl_730_1,to2500,ТО6-2500,2500.0,19.0,28.5,
100000008673_9,100000008673,tr,ТР,2500.0,20.0,30.0,
100000062379_9,100000062379,tr,ТР,2500.0,20.0,30.0,
100000084396_30,100000084396,to250,ТО1-250,2750.0,1.2,1.8,
sl_730_1_48,sl_730_1,to250,ТО1-250,2750.0,1.2,1.8,
100000065514_15,100000065514,tr1,ТР,2750.0,7.0,8.0,2750.0
100000084396_39,100000084396,tr1,ТР,2750.0,7.0,8.0,2750.0
sl_730_1_57,sl_730_1,tr1,ТР,2750.0,7.0,8.0,2750.0
100000008673_9,100000008673,tr,ТР,2750.0,20.0,30.0,
100000062379_9,100000062379,tr,ТР,2750.0,20.0,30.0,
100000008673_3,100000008673,to1000,ТО-1000,3000.0,5.5,8.25,
100000062379_3,100000062379,to1000,ТО-1000,3000.0,5.5,8.25,
100000065514_21,100000065514,to1000,ТО-1000,3000.0,6.6,9.9,
100000065514_15,100000065514,tr1,ТР,3000.0,7.0,8.0,3000.0
100000084396_39,100000084396,tr1,ТР,3000.0,7.0,8.0,3000.0
sl_730_1_57,sl_730_1,tr1,ТР,3000.0,7.0,8.0,3000.0
100000084396_32,100000084396,to1000,ТО3-1000,3000.0,12.0,18.0,
sl_730_1_50,sl_730_1,to1000,ТО3-1000,3000.0,12.0,18.0,
100000084396_33,100000084396,to1500,ТО4-1500,3000.0,13.0,19.5,
sl_730_1_51,sl_730_1,to1500,ТО4-1500,3000.0,13.0,19.5,
100000008673_9,100000008673,tr,ТР,3000.0,20.0,30.0,
100000062379_9,100000062379,tr,ТР,3000.0,20.0,30.0,
100000084396_30,100000084396,to250,ТО1-250,3250.0,1.2,1.8,
sl_730_1_48,sl_730_1,to250,ТО1-250,3250.0,1.2,1.8,
100000065514_15,100000065514,tr1,ТР,3250.0,7.0,8.0,3250.0
100000084396_39,100000084396,tr1,ТР,3250.0,7.0,8.0,3250.0
sl_730_1_57,sl_730_1,tr1,ТР,3250.0,7.0,8.0,3250.0
100000008673_9,100000008673,tr,ТР,3250.0,20.0,30.0,
100000062379_9,100000062379,tr,ТР,3250.0,20.0,30.0,
100000008673_2,100000008673,to500,ТО-500,3500.0,4.5,6.75,
100000062379_2,100000062379,to500,ТО-500,3500.0,4.5,6.75,
100000065514_20,100000065514,to500,ТО-500,3500.0,5.0,7.5,
100000065514_15,100000065514,tr1,ТР,3500.0,7.0,8.0,3500.0
100000084396_39,100000084396,tr1,ТР,3500.0,7.0,8.0,3500.0
sl_730_1_57,sl_730_1,tr1,ТР,3500.0,7.0,8.0,3500.0
100000084396_31,100000084396,to500,ТО2-500,3500.0,11.0,16.5,
sl_730_1_49,sl_730_1,to500,ТО2-500,3500.0,11.0,16.5,
100000008673_9,100000008673,tr,ТР,3500.0,20.0,30.0,
100000062379_9,100000062379,tr,ТР,3500.0,20.0,30.0,
100000084396_30,100000084396,to250,ТО1-250,3750.0,1.2,1.8,
sl_730_1_48,sl_730_1,to250,ТО1-250,3750.0,1.2,1.8,
100000065514_15,100000065514,tr1,ТР,3750.0,7.0,8.0,3750.0
100000084396_39,100000084396,tr1,ТР,3750.0,7.0,8.0,3750.0
sl_730_1_57,sl_730_1,tr1,ТР,3750.0,7.0,8.0,3750.0
100000008673_9,100000008673,tr,ТР,3750.0,20.0,30.0,
100000062379_9,100000062379,tr,ТР,3750.0,20.0,30.0,
100000065514_15,100000065514,tr1,ТР,4000.0,7.0,8.0,4000.0
100000084396_39,100000084396,tr1,ТР,4000.0,7.0,8.0,4000.0
sl_730_1_57,sl_730_1,tr1,ТР,4000.0,7.0,8.0,4000.0
100000008673_8,100000008673,to_suppl_systems,ТО доп систем,4000.0,10.0,15.0,
100000008673_10,100000008673,tr_suppl_systems,Трдоп.сист.,4000.0,10.0,15.0,
100000062379_8,100000062379,to_suppl_systems,ТО доп систем,4000.0,10.0,15.0,
