level_1,eo_code,month_year,eo_model_id,man_hours
first11,100000062393,11_2023,65,94.8
first11,100000062393,11_2024,65,116.55
first11,100000062393,12_2023,65,117.21000000000001
first11,100000062393,12_2024,65,95.46000000000001
first11,100000062393,1_2023,65,87.21000000000001
first11,100000062393,1_2024,65,129.81
first11,100000062393,1_2025,65,159.81
first11,100000062393,2_2023,65,86.73
first11,100000062393,2_2024,65,124.14
first11,100000062393,2_2025,65,85.23
first11,100000062393,3_2023,65,117.21000000000001
first11,100000062393,3_2024,65,87.21000000000001
first11,100000062393,3_2025,65,88.71000000000001
first11,100000062393,4_2023,65,98.10000000000001
first11,100000062393,4_2024,65,502.8
first11,100000062393,4_2025,65,129.75
first11,100000062393,5_2023,65,118.71000000000001
first11,100000062393,5_2024,65,125.46000000000001
first11,100000062393,5_2025,65,87.21000000000001
first11,100000062393,6_2023,65,86.55
first11,100000062393,6_2024,65,86.55
first11,100000062393,6_2025,65,117.39
first11,100000062393,7_2023,65,166.56
first11,100000062393,7_2024,65,161.31
first11,100000062393,8_2023,65,88.71
first11,100000062393,8_2024,65,87.21000000000001
first11,100000062393,9_2023,65,86.55
first11,100000062393,9_2024,65,124.8
first11,100000062394,10_2023,65,123.66
first11,100000062394,10_2024,65,92.01
first11,100000062394,11_2023,65,94.8
first11,100000062394,11_2024,65,116.55
first11,100000062394,12_2023,65,117.21000000000001
first11,100000062394,12_2024,65,95.46000000000001
first11,100000062394,1_2023,65,87.21000000000001
first11,100000062394,1_2024,65,129.81
first11,100000062394,1_2025,65,159.81
first11,100000062394,2_2023,65,86.73
first11,100000062394,2_2024,65,124.14
first11,100000062394,2_2025,65,85.23
first11,100000062394,3_2023,65,117.21000000000001
first11,100000062394,3_2024,65,87.21000000000001
first11,100000062394,3_2025,65,88.71000000000001
first11,100000062394,4_2023,65,98.10000000000001
first11,100000062394,4_2024,65,502.8
first11,100000062394,4_2025,65,129.75
first11,100000062394,5_2023,65,118.71000000000001
first11,100000062394,5_2024,65,125.46000000000001
first11,100000062394,5_2025,65,87.21000000000001
first11,100000062394,6_2023,65,86.55
first11,100000062394,6_2024,65,86.55
first11,100000062394,6_2025,65,117.39
first11,100000062394,7_2023,65,166.56
first11,100000062394,7_2024,65,161.31
first11,100000062394,8_2023,65,88.71
first11,100000062394,8_2024,65,87.21000000000001
first11,100000062394,9_2023,65,86.55
first11,100000062394,9_2024,65,124.8
first11,100000062395,10_2023,65,123.66
first11,100000062395,10_2024,65,92.01
first11,100000062395,11_2023,65,94.8
first11,100000062395,11_2024,65,116.55
first11,100000062395,12_2023,65,117.21000000000001
first11,100000062395,12_2024,65,95.46000000000001
first11,100000062395,1_2023,65,87.21000000000001
first11,100000062395,1_2024,65,129.81
first11,100000062395,1_2025,65,159.81
first11,100000062395,2_2023,65,86.73
first11,100000062395,2_2024,65,124.14
first11,100000062395,2_2025,65,85.23
first11,100000062395,3_2023,65,117.21000000000001
first11,100000062395,3_2024,65,87.21000000000001
first11,100000062395,3_2025,65,88.71000000000001
first11,100000062395,4_2023,65,98.10000000000001
first11,100000062395,4_2024,65,502.8
first11,100000062395,4_2025,65,129.75
first11,100000062395,5_2023,65,118.71000000000001
first11,100000062395,5_2024,65,125.46000000000001
first11,100000062395,5_2025,65,87.21000000000001
first11,100000062395,6_2023,65,86.55
first11,100000062395,6_2024,65,86.55
first11,100000062395,6_2025,65,117.39
